Value, Time of DA (ns), Prime? (According to DA), Time of RA (ns), Prime? (According to RA)
10000000000001424,1600,NO,500,NO
10000000000001425,2600,NO,9200,NO
10000000000001426,900,NO,400,NO
10000000000001427,600,NO,4300,NO
10000000000001428,500,NO,300,NO
10000000000001429,600,NO,4600,NO
10000000000001430,400,NO,300,NO
10000000000001431,600,NO,2900,NO
10000000000001432,400,NO,200,NO
10000000000001433,400,NO,2500,NO
10000000000001434,500,NO,300,NO
10000000000001435,600,NO,2600,NO
10000000000001436,600,NO,300,NO
10000000000001437,5100,NO,2900,NO
10000000000001438,700,NO,300,NO
10000000000001439,500,NO,3700,NO
10000000000001440,600,NO,200,NO
10000000000001441,5400,NO,3800,NO
10000000000001442,500,NO,300,NO
10000000000001443,4932200,NO,21100,NO
10000000000001444,2000,NO,400,NO
10000000000001445,500,NO,3700,NO
10000000000001446,500,NO,300,NO
10000000000001447,900,NO,3400,NO
10000000000001448,400,NO,200,NO
10000000000001449,1300,NO,2600,NO
10000000000001450,800,NO,200,NO
10000000000001451,400,NO,2500,NO
10000000000001452,500,NO,200,NO
10000000000001453,600,NO,2300,NO
10000000000001454,400,NO,200,NO
10000000000001455,500,NO,3000,NO
10000000000001456,400,NO,200,NO
10000000000001457,500,NO,3000,NO
10000000000001458,400,NO,8100,NO
10000000000001459,600,NO,2900,NO
10000000000001460,500,NO,200,NO
10000000000001461,600,NO,2900,NO
10000000000001462,800,NO,13000,NO
10000000000001463,500,NO,17600,NO
10000000000001464,400,NO,200,NO
10000000000001465,500,NO,2800,NO
10000000000001466,400,NO,100,NO
10000000000001467,5800,NO,2800,NO
10000000000001468,600,NO,100,NO
10000000000001469,500,NO,2600,NO
10000000000001470,500,NO,100,NO
10000000000001471,4808100,NO,18900,NO
10000000000001472,2200,NO,500,NO
10000000000001473,1000,NO,7700,NO
10000000000001474,500,NO,200,NO
10000000000001475,400,NO,3000,NO
10000000000001476,500,NO,100,NO
10000000000001477,1046965500,YES,67400,YES
10000000000001478,1900,NO,300,NO
10000000000001479,900,NO,4000,NO
10000000000001480,500,NO,200,NO
10000000000001481,600,NO,4200,NO
10000000000001482,400,NO,100,NO
10000000000001483,424900,NO,5000,NO
10000000000001484,500,NO,200,NO
10000000000001485,500,NO,2900,NO
10000000000001486,400,NO,100,NO
10000000000001487,500,NO,2600,NO
10000000000001488,400,NO,200,NO
10000000000001489,2000,NO,2400,NO
10000000000001490,500,NO,200,NO
10000000000001491,600,NO,2400,NO
10000000000001492,300,NO,100,NO
10000000000001493,500,NO,3000,NO
10000000000001494,400,NO,200,NO
10000000000001495,500,NO,2300,NO
10000000000001496,300,NO,100,NO
10000000000001497,600,NO,2300,NO
10000000000001498,300,NO,100,NO
10000000000001499,300,NO,2200,NO
10000000000001500,400,NO,100,NO
10000000000001501,400,NO,2100,NO
10000000000001502,400,NO,200,NO
10000000000001503,2500,NO,2400,NO
10000000000001504,400,NO,200,NO
10000000000001505,400,NO,2200,NO
10000000000001506,400,NO,100,NO
10000000000001507,800,NO,2100,NO
10000000000001508,400,NO,100,NO
10000000000001509,700,NO,2200,NO
10000000000001510,300,NO,100,NO
10000000000001511,400,NO,2200,NO
10000000000001512,300,NO,100,NO
10000000000001513,1200,NO,2900,NO
10000000000001514,400,NO,100,NO
10000000000001515,500,NO,2200,NO
10000000000001516,400,NO,200,NO
10000000000001517,400,NO,2200,NO
10000000000001518,300,NO,100,NO
10000000000001519,346700,NO,3500,NO
10000000000001520,700,NO,200,NO
10000000000001521,700,NO,3100,NO
10000000000001522,600,NO,200,NO
10000000000001523,500,NO,3100,NO
10000000000001524,1900,NO,100,NO
10000000000001525,900,NO,2500,NO
10000000000001526,400,NO,100,NO
10000000000001527,900,NO,2500,NO
10000000000001528,300,NO,100,NO
10000000000001529,400,NO,2200,NO
10000000000001530,300,NO,100,NO
10000000000001531,600,NO,2300,NO
10000000000001532,400,NO,100,NO
10000000000001533,6100,NO,2200,NO
10000000000001534,400,NO,100,NO
10000000000001535,400,NO,2200,NO
10000000000001536,400,NO,200,NO
10000000000001537,700,NO,2100,NO
10000000000001538,400,NO,100,NO
10000000000001539,600,NO,3000,NO
10000000000001540,400,NO,200,NO
10000000000001541,500,NO,2200,NO
10000000000001542,400,NO,100,NO
10000000000001543,500,NO,2100,NO
10000000000001544,400,NO,100,NO
10000000000001545,500,NO,2200,NO
10000000000001546,400,NO,100,NO
10000000000001547,400,NO,2300,NO
10000000000001548,300,NO,100,NO
10000000000001549,1026588800,YES,147600,YES
10000000000001550,1800,NO,500,NO
10000000000001551,1039141100,YES,81700,YES
10000000000001552,2200,NO,400,NO
10000000000001553,700,NO,7000,NO
10000000000001554,500,NO,200,NO
10000000000001555,600,NO,3100,NO
10000000000001556,400,NO,100,NO
10000000000001557,500,NO,2400,NO
10000000000001558,400,NO,100,NO
10000000000001559,400,NO,2800,NO
10000000000001560,400,NO,100,NO
10000000000001561,600,NO,2100,NO
10000000000001562,400,NO,100,NO
10000000000001563,600,NO,2900,NO
10000000000001564,400,NO,100,NO
10000000000001565,400,NO,2400,NO
